"rule_id","parameter_id","test_code","parameter_code","parameter_name","gender","age_min_days","age_max_days","normal_min","normal_max","normal_text","critical_low","critical_high","unit","reference_source","clinical_note"
"69cc157f-d1e6-457e-8ce7-294e3bab77f2","0d8e5740-c6c1-40f5-9328-9083635aa7ff","BIO-0029","BIO-0029","HDL Cholesterol","Female","0","43800","50","","> 50 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"64235a3d-f89b-4722-b3e6-6b4adef42585","0d8e5740-c6c1-40f5-9328-9083635aa7ff","BIO-0029","BIO-0029","HDL Cholesterol","Male","0","43800","40","","> 40 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"c518bc8c-615f-4295-bd7b-5201b159a74a","e0a795a7-cd10-4c0b-847c-ac56ae0c7670","BIO-0030","BIO-0030","LDL Cholesterol, Direct","All","0","43800","","100","< 100 mg/dL (Optimal)","","","mg/dL","APPROVED_LIS_CONFIG",""
"6c3d2756-a34e-40e3-9aee-005b27cd1a60","d5f56c25-5534-4895-9be8-4082ccc5848d","BIO-0031","BIO-0031","LDL Cholesterol, Calculated","All","0","43800","","100","< 100 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"d8717b17-ed34-4f1e-8fbf-d6380bb2e14c","1c9ea91d-57d0-4268-816d-1a12af74a34c","BIO-0032","BIO-0032","VLDL Cholesterol","All","0","43800","10","30","10 - 30 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"e384cad3-a56a-404f-b823-e2d91fb1e3bf","7088faa4-4b15-49bc-a547-728e91cf8a3f","BIO-0037","BIO-0037","Sodium","All","0","43800","135","145","135 - 145 mmol/L","","","mmol/L","APPROVED_LIS_CONFIG",""
"d36834be-4394-4a5f-b6c7-725bca8a2bd6","c0901c10-c0f8-48f4-b016-e128e638849f","BIO-0038","BIO-0038","Potassium","All","0","43800","3.5","5.1","3.5 - 5.1 mmol/L","","","mmol/L","APPROVED_LIS_CONFIG",""
"b158da72-aab5-40ad-aae2-afd390b4e3dd","5d418024-ceea-430c-9688-3d6a55fc0602","BIO-0039","BIO-0039","Chloride","All","0","43800","96","106","96 - 106 mmol/L","","","mmol/L","APPROVED_LIS_CONFIG",""
"e0950f89-4167-4235-a1ed-02e16b463c78","fe2ce8a2-4c6c-46d6-859f-70c2621fb133","BIO-0041","BIO-0041","Calcium, Total","All","0","43800","8.5","10.5","8.5 - 10.5 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"762ef0b3-6a23-412b-a2d5-d0c0cd56a7e7","6470d828-cbdd-46b6-9064-9590ee0aced6","BIO-0043","BIO-0043","Phosphorus","All","0","43800","2.5","4.5","2.5 - 4.5 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"11de23ff-dbba-43bb-a33c-a06317624331","83f41bb8-141f-40e5-b526-673e9b88a13a","BIO-0044","BIO-0044","Magnesium","All","0","43800","1.6","2.6","1.6 - 2.6 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"6c0ba6b6-ae21-4ee5-85ed-299496e0377a","646b1794-7626-4b82-b7ba-4885ac506c66","BIO-0050","BIO-0050","Ferritin","Female","0","43800","10","120","10 - 120 ng/mL","","","ng/mL","APPROVED_LIS_CONFIG",""
"d3231c34-d32f-4d9f-90cf-9f778762a792","646b1794-7626-4b82-b7ba-4885ac506c66","BIO-0050","BIO-0050","Ferritin","Male","0","43800","20","250","20 - 250 ng/mL","","","ng/mL","APPROVED_LIS_CONFIG",""
"a8a0acc6-aa17-4441-92f5-4ef960651540","f5ab9056-687e-4ef6-a180-27e49ff77cc4","BIO-0051","BIO-0051","Vitamin B12","All","0","43800","200","900","200 - 900 pg/mL (Borderline: 200 - 300 pg/mL)","","","pg/mL","APPROVED_LIS_CONFIG",""
