"parameter_id","test_id","test_code","parameter_code","parameter_name","value_type","unit","display_order","is_mandatory","is_active","lifecycle_status","formula","options","reference_status"
"8c9e2080-7efd-457e-809f-12f8a57a95c7","2f8b4df3-40e4-4141-b003-9a124fdc75a8","COA-0001","INR","International Normalized Ratio","Calculated","","2","TRUE","TRUE","Active","(PT / MNPT) ^ ISI","","CONFIGURED"
"eee0dfe4-4adf-449c-aba7-8ccae3e546d4","327a90fa-c2fd-4af9-ba3b-84fb478caf4a","COA-0002","COA-0002","INR","Numeric","ratio","1","TRUE","TRUE","Active","","","CONFIGURED"
"6f4f2c64-4b1e-4679-bf7d-349b875ce510","271e3cc9-185a-4391-99bb-b9dda33b3347","COA-0003","COA-0003","Activated Partial Thromboplastin Time (APTT)","Numeric","sec","1","TRUE","TRUE","Active","","","CONFIGURED"
"6528aeb3-0cc8-4833-a599-a9e9829bc57a","0fe55772-b07d-4d43-bd08-0a0ee6ead0e3","COA-0004","COA-0004","Thrombin Time (TT)","Numeric","sec","1","TRUE","TRUE","Active","","","CONFIGURED"
"40274fb8-1fcd-49f3-80ac-fa90114a8e92","e0f67253-5aa9-47b9-b2c5-b43be0fd1acc","COA-0005","COA-0005","Fibrinogen (Clauss)","Numeric","mg/dL","1","TRUE","TRUE","Active","","","CONFIGURED"
"19660461-27c0-4427-9e47-24c0e2fd589c","b6594b04-b486-46a2-a431-a647962ab2b2","COA-0006","COA-0006","D-Dimer","Numeric","µg/mL FEU","1","TRUE","TRUE","Active","","","CONFIGURED"
"8ef9d57b-b7c4-476c-b411-b3f5a75199ee","3531fc7b-db20-4f22-85c2-4a2076763113","COA-0007","COA-0007","Bleeding Time","Numeric","min","1","TRUE","TRUE","Active","","","CONFIGURED"
"31e9b773-33f5-4472-8bb5-ce51c4942fa6","1e03e664-18f1-4893-b651-0f25642e83c1","COA-0008","COA-0008","Clotting Time","Numeric","min","1","TRUE","TRUE","Active","","","CONFIGURED"
"c53dab07-4ac9-4c04-a449-c0ec088c84a2","c46fa46e-00b6-45e0-8f37-4836597a669f","COA-0009","COA-0009","Factor VIII Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"908299c1-02dc-4307-a2d4-f2db6fdba0f4","d893c0e7-d920-4cc8-af5f-7a72767590e3","COA-0010","COA-0010","Factor IX Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"7f20179d-6c10-42e2-b93a-d802bf4e3424","224aaa2b-1402-4a38-a678-74687e129f09","COA-0011","COA-0011","Factor XI Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"7e7d07b4-7f75-4361-a653-e4429714f2be","78dbe43f-fbb0-4b71-a4f4-d90d8e75fb4c","COA-0012","COA-0012","Factor XII Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"40e7572e-3c57-49aa-8a1e-f4b1854fcafd","f758c223-96e8-448f-bd81-b9ee45754afb","COA-0013","COA-0013","Factor VII Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"bf59300a-18d9-4afc-a3b9-fd62620f5aea","489f95c5-406e-409b-bb10-782ccc32738e","COA-0014","COA-0014","Factor V Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"2e24eec3-ca5b-42b5-8826-83de533f381c","3f885502-56ba-4a4e-a3e5-8080982a538f","COA-0015","COA-0015","Factor X Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"ba6021c6-4261-4666-b3ba-aa38a820224f","298bf948-ec90-4c8f-b798-e10644d03b7e","COA-0016","COA-0016","Factor XIII Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"1c7e9104-2d41-4f27-92de-80966d0d20b4","f526121b-edc7-4286-a5eb-85c6c83532f5","COA-0017","COA-0017","Von Willebrand Factor Antigen","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"60322077-2c98-4ad9-93bb-2758264534b9","1435f734-0200-4766-9110-9f82929ba574","COA-0018","COA-0018","Von Willebrand Factor Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"25ca51bc-e934-4063-b38c-d30d02c017c7","0a59cf7f-350b-4950-93aa-bbe7e267904f","COA-0019","COA-0019","Protein C Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"75f6b488-9501-4144-9b2c-2714787e16d1","8b413360-227d-4867-9b4d-d95857d44ab5","COA-0020","COA-0020","Protein S Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"9cd2510a-4efa-41b1-a03f-f0028900c52a","bc191ed1-20d2-4884-94eb-57e7fcb8290e","COA-0021","COA-0021","Antithrombin III Activity","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"c0e7efd9-71a1-4069-9f0a-159d65b72224","eaaee861-6bd8-4f3e-89fd-211b5742082d","COA-0022","COA-0022","Lupus Anticoagulant Screen","Numeric","ratio","1","TRUE","TRUE","Active","","","CONFIGURED"
"a2bcac05-f574-4e68-8a8a-423b33c24ac6","3cb29622-8278-4684-bfad-c2de90110106","COA-0023","COA-0023","dRVVT Screen","Numeric","ratio","1","TRUE","TRUE","Active","","","CONFIGURED"
"8e391c76-6be1-45b0-9c0b-4da09026fada","52ee8234-5142-4a20-b5f6-091706087070","COA-0024","COA-0024","dRVVT Confirm","Numeric","ratio","1","TRUE","TRUE","Active","","","CONFIGURED"
"17434e86-85ed-4125-a649-de5a2c9af5d1","ed97d1e9-19fa-47f2-9726-346d9c2d7230","COA-0025","COA-0025","Mixing Study PT","Numeric","Interpretive","1","TRUE","TRUE","Active","","","CONFIGURED"
